iter, loss
1,0.8589399462484179
2,0.8127037219774156
3,0.7975619016772225
4,0.7899407187870571
5,0.778809863547484
6,0.774424259974843
7,0.7622476043190275
8,0.7569063907975242
9,0.7551973074050177
10,0.7485222221669696
11,0.7426838064193726
12,0.7440632006327311
13,0.738644361436367
14,0.7363848904853776
15,0.7298294883086568
16,0.7300910317982946
17,0.7262961439603851
18,0.7193909785208248
19,0.7140355114738146
20,0.7119659570200103
21,0.7108536955004646
22,0.7078008019498416
23,0.706922349197524
24,0.7042910969626336
25,0.7021101434855234
26,0.7010670166044008
27,0.704592490312599
28,0.6981158748723212
29,0.6982935656451044
30,0.695893846585637
