iter, loss
1,1.0989775508840878
2,1.098738559495835
3,1.098724457905406
4,1.0987114272316296
5,1.0987089569852466
6,1.0987086835049447
7,1.0987086391817955
8,1.098708624751795
9,1.0987086185841333
10,1.0987086160353252
11,1.0987086147382146
12,1.0987086131061827
13,1.0987086130806378
14,1.0987086124845913
15,1.0987086128989856
16,1.098708612328484
17,1.0987086128507342
18,1.0987086125385193
19,1.098708612606639
20,1.0987086127428782
21,1.0987086131175359
22,1.098708612635022
23,1.0987086130437398
24,1.0987086131743022
25,1.098708612669082
26,1.0987086128337042
27,1.0987086126577286
28,1.0987086129585901
29,1.0987086132197152
30,1.0987086129585901
