iter, loss
1,0.901229860950084
2,0.8128152659535408
3,0.7973536000393686
4,0.7848958078395752
5,0.7771384140139534
6,0.7681325590298289
7,0.7653973080487478
8,0.7706567015591121
9,0.7594639719611123
10,0.7543730121113005
11,0.753081812171709
12,0.7475690131357738
13,0.7454667782272612
14,0.7438419562294369
15,0.7383518118177141
16,0.7365272527649289
17,0.7308780603068216
18,0.7328746820915313
19,0.7252682310655003
20,0.7252431153257688
21,0.7239447255446797
22,0.7209592967657816
23,0.7224165296270734
24,0.7184467685222625
25,0.7168308438829013
26,0.717030940932887
27,0.7137451018066633
28,0.7079445695877076
29,0.7087798800241379
30,0.707891185221218
