iter, loss
1,0.8842669608820053
2,0.806194977797213
3,0.789235586751075
4,0.778672918685845
5,0.766974477702663
6,0.7600212202412742
7,0.7523969302092279
8,0.7460824109542937
9,0.7372672337662606
10,0.7303329835363797
11,0.7265353674037116
12,0.721574213655222
13,0.7201700010498365
14,0.7140270320347377
15,0.7079418223727317
16,0.7065476461563791
17,0.7084000258190292
18,0.7126624039269629
19,0.7072008547953197
20,0.6997797939805758
21,0.7014970309734344
22,0.7000496697936739
23,0.6987288795965059
24,0.6966310069220407
25,0.6957055081100691
26,0.6934035433757872
27,0.6959970365081515
28,0.6894439100452832
29,0.689953137128126
30,0.6905179868510791
